REF_DATE,GEO,Age,Sex,Indicators,VALUE
2015,Canada (excluding territories),12 to 17 years,Females,"Perceived mental health, very good or excellent",75.6
2015,Canada (excluding territories),12 to 17 years,Females,"Perceived mental health, fair or poor",5.5
2015,Canada (excluding territories),12 to 17 years,Females,"Perceived life stress, most days quite a bit or extremely stressful",15.7
2015,Canada (excluding territories),12 to 17 years,Females,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",20.1
2015,Canada (excluding territories),12 to 17 years,Females,Arthritis (15 years and over),NA
2015,Canada (excluding territories),12 to 17 years,Females,Diabetes,NA
2015,Canada (excluding territories),12 to 17 years,Females,Asthma,8.9
2015,Canada (excluding territories),12 to 17 years,Females,Chronic obstructive pulmonary disease (COPD; 35 years and over),NA
2015,Canada (excluding territories),12 to 17 years,Females,High blood pressure,1.1
2015,Canada (excluding territories),12 to 17 years,Females,Mood disorder,5.2
2015,Canada (excluding territories),12 to 17 years,Females,"Current smoker, daily or occasional",4
2015,Canada (excluding territories),12 to 17 years,Females,"Current smoker, daily",1.4
2015,Canada (excluding territories),12 to 17 years,Females,Heavy drinking,3.6
2015,Canada (excluding territories),12 to 17 years,Females,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",51
2015,Canada (excluding territories),12 to 17 years,Females,Breast milk feeding initiation,NA
2015,Canada (excluding territories),12 to 17 years,Females,"Exclusive breastfeeding, at least 6 months",NA
2015,Canada (excluding territories),12 to 17 years,Females,"Fruit and vegetable consumption, 5 times or more per day",32.3
2015,Canada (excluding territories),12 to 17 years,Females,"Sense of belonging to local community, somewhat strong or very strong",85.2
2015,Canada (excluding territories),12 to 17 years,Females,"Life satisfaction, satisfied or very satisfied",97.6
2015,Canada (excluding territories),12 to 17 years,Females,Has a regular healthcare provider,83.7
2015,Canada (excluding territories),12 to 17 years,Females,Contact with a medical doctor in the past 12 months,60.9
2015,Canada (excluding territories),12 to 17 years,Females,Influenza immunization in the past 12 months,26.9
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Perceived health, very good or excellent",70.9
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Perceived health, fair or poor",5.7
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Perceived mental health, very good or excellent",72.5
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Perceived mental health, fair or poor",6.2
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",22.1
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",29.8
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese",17.3
2015,Canada (excluding territories),18 to 34 years,Both sexes,Arthritis (15 years and over),3.1
2015,Canada (excluding territories),18 to 34 years,Both sexes,Diabetes,0.9
2015,Canada (excluding territories),18 to 34 years,Both sexes,Asthma,9.3
2015,Canada (excluding territories),18 to 34 years,Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),NA
2015,Canada (excluding territories),18 to 34 years,Both sexes,High blood pressure,2.3
2015,Canada (excluding territories),18 to 34 years,Both sexes,Mood disorder,7.8
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Current smoker, daily or occasional",22.1
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Current smoker, daily",13.6
2015,Canada (excluding territories),18 to 34 years,Both sexes,Heavy drinking,30.6
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",67
2015,Canada (excluding territories),18 to 34 years,Both sexes,Breast milk feeding initiation,88.9
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Exclusive breastfeeding, at least 6 months",30.6
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Fruit and vegetable consumption, 5 times or more per day",31.3
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Sense of belonging to local community, somewhat strong or very strong",62.2
2015,Canada (excluding territories),18 to 34 years,Both sexes,"Life satisfaction, satisfied or very satisfied",95.9
2015,Canada (excluding territories),18 to 34 years,Both sexes,Has a regular healthcare provider,71.3
2015,Canada (excluding territories),18 to 34 years,Both sexes,Contact with a medical doctor in the past 12 months,63.1
2015,Canada (excluding territories),18 to 34 years,Both sexes,Influenza immunization in the past 12 months,20.3
2015,Canada (excluding territories),18 to 34 years,Males,"Perceived health, very good or excellent",71.3
2015,Canada (excluding territories),18 to 34 years,Males,"Perceived health, fair or poor",5.8
2015,Canada (excluding territories),18 to 34 years,Males,"Perceived mental health, very good or excellent",75.3
2015,Canada (excluding territories),18 to 34 years,Males,"Perceived mental health, fair or poor",5.1
2015,Canada (excluding territories),18 to 34 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",20.3
2015,Canada (excluding territories),18 to 34 years,Males,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",34.1
2015,Canada (excluding territories),18 to 34 years,Males,"Body mass index, adjusted self-reported, adult (18 years and over), obese",18.5
2015,Canada (excluding territories),18 to 34 years,Males,Arthritis (15 years and over),2.5
2015,Canada (excluding territories),18 to 34 years,Males,Diabetes,0.9
2015,Canada (excluding territories),18 to 34 years,Males,Asthma,8.5
2015,Canada (excluding territories),18 to 34 years,Males,Chronic obstructive pulmonary disease (COPD; 35 years and over),NA
2015,Canada (excluding territories),18 to 34 years,Males,High blood pressure,2.6
2015,Canada (excluding territories),18 to 34 years,Males,Mood disorder,5.4
2015,Canada (excluding territories),18 to 34 years,Males,"Current smoker, daily or occasional",26.4
2015,Canada (excluding territories),18 to 34 years,Males,"Current smoker, daily",16
2015,Canada (excluding territories),18 to 34 years,Males,Heavy drinking,36.2
2015,Canada (excluding territories),18 to 34 years,Males,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",71.9
2015,Canada (excluding territories),18 to 34 years,Males,"Fruit and vegetable consumption, 5 times or more per day",25.8
2015,Canada (excluding territories),18 to 34 years,Males,"Sense of belonging to local community, somewhat strong or very strong",60.5
2015,Canada (excluding territories),18 to 34 years,Males,"Life satisfaction, satisfied or very satisfied",96.1
2015,Canada (excluding territories),18 to 34 years,Males,Has a regular healthcare provider,64.9
2015,Canada (excluding territories),18 to 34 years,Males,Contact with a medical doctor in the past 12 months,52.8
2015,Canada (excluding territories),18 to 34 years,Males,Influenza immunization in the past 12 months,17.1
2015,Canada (excluding territories),18 to 34 years,Females,"Perceived health, very good or excellent",70.5
2015,Canada (excluding territories),18 to 34 years,Females,"Perceived health, fair or poor",5.6
2015,Canada (excluding territories),18 to 34 years,Females,"Perceived mental health, very good or excellent",69.6
2015,Canada (excluding territories),18 to 34 years,Females,"Perceived mental health, fair or poor",7.4
2015,Canada (excluding territories),18 to 34 years,Females,"Perceived life stress, most days quite a bit or extremely stressful",24
2015,Canada (excluding territories),18 to 34 years,Females,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",25.3
2015,Canada (excluding territories),18 to 34 years,Females,"Body mass index, adjusted self-reported, adult (18 years and over), obese",16
2015,Canada (excluding territories),18 to 34 years,Females,Arthritis (15 years and over),3.8
2015,Canada (excluding territories),18 to 34 years,Females,Diabetes,0.9
2015,Canada (excluding territories),18 to 34 years,Females,Asthma,10.2
2015,Canada (excluding territories),18 to 34 years,Females,Chronic obstructive pulmonary disease (COPD; 35 years and over),NA
2015,Canada (excluding territories),18 to 34 years,Females,High blood pressure,2
2015,Canada (excluding territories),18 to 34 years,Females,Mood disorder,10.1
2015,Canada (excluding territories),18 to 34 years,Females,"Current smoker, daily or occasional",17.8
2015,Canada (excluding territories),18 to 34 years,Females,"Current smoker, daily",11.1
2015,Canada (excluding territories),18 to 34 years,Females,Heavy drinking,24.9
2015,Canada (excluding territories),18 to 34 years,Females,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",62.1
2015,Canada (excluding territories),18 to 34 years,Females,Breast milk feeding initiation,88.9
2015,Canada (excluding territories),18 to 34 years,Females,"Exclusive breastfeeding, at least 6 months",30.6
2015,Canada (excluding territories),18 to 34 years,Females,"Fruit and vegetable consumption, 5 times or more per day",36.8
2015,Canada (excluding territories),18 to 34 years,Females,"Sense of belonging to local community, somewhat strong or very strong",63.8
2015,Canada (excluding territories),18 to 34 years,Females,"Life satisfaction, satisfied or very satisfied",95.6
2015,Canada (excluding territories),18 to 34 years,Females,Has a regular healthcare provider,77.7
2015,Canada (excluding territories),18 to 34 years,Females,Contact with a medical doctor in the past 12 months,73.6
2015,Canada (excluding territories),18 to 34 years,Females,Influenza immunization in the past 12 months,23.4
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Perceived health, very good or excellent",64.3
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Perceived health, fair or poor",8.3
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Perceived mental health, very good or excellent",72.4
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Perceived mental health, fair or poor",6.3
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",28.7
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",36.4
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese",29.1
2015,Canada (excluding territories),35 to 49 years,Both sexes,Arthritis (15 years and over),12.5
2015,Canada (excluding territories),35 to 49 years,Both sexes,Diabetes,4.4
2015,Canada (excluding territories),35 to 49 years,Both sexes,Asthma,8
2015,Canada (excluding territories),35 to 49 years,Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),1.5
2015,Canada (excluding territories),35 to 49 years,Both sexes,High blood pressure,9.6
2015,Canada (excluding territories),35 to 49 years,Both sexes,Mood disorder,9
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Current smoker, daily or occasional",19.5
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Current smoker, daily",14.2
2015,Canada (excluding territories),35 to 49 years,Both sexes,Heavy drinking,21
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",59.2
2015,Canada (excluding territories),35 to 49 years,Both sexes,Breast milk feeding initiation,92.5
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Exclusive breastfeeding, at least 6 months",35.7
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Fruit and vegetable consumption, 5 times or more per day",32.9
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Sense of belonging to local community, somewhat strong or very strong",66.6
2015,Canada (excluding territories),35 to 49 years,Both sexes,"Life satisfaction, satisfied or very satisfied",93.4
2015,Canada (excluding territories),35 to 49 years,Both sexes,Has a regular healthcare provider,83
2015,Canada (excluding territories),35 to 49 years,Both sexes,Contact with a medical doctor in the past 12 months,73.9
2015,Canada (excluding territories),35 to 49 years,Both sexes,Influenza immunization in the past 12 months,25.3
2015,Canada (excluding territories),35 to 49 years,Males,"Perceived health, very good or excellent",65.7
2015,Canada (excluding territories),35 to 49 years,Males,"Perceived health, fair or poor",7.9
2015,Canada (excluding territories),35 to 49 years,Males,"Perceived mental health, very good or excellent",74.3
2015,Canada (excluding territories),35 to 49 years,Males,"Perceived mental health, fair or poor",5.3
2015,Canada (excluding territories),35 to 49 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",27.2
2015,Canada (excluding territories),35 to 49 years,Males,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",42.1
2015,Canada (excluding territories),35 to 49 years,Males,"Body mass index, adjusted self-reported, adult (18 years and over), obese",32.4
2015,Canada (excluding territories),35 to 49 years,Males,Arthritis (15 years and over),12.1
2015,Canada (excluding territories),35 to 49 years,Males,Diabetes,4.9
2015,Canada (excluding territories),35 to 49 years,Males,Asthma,5.6
2015,Canada (excluding territories),35 to 49 years,Males,Chronic obstructive pulmonary disease (COPD; 35 years and over),1.3
2015,Canada (excluding territories),35 to 49 years,Males,High blood pressure,11
2015,Canada (excluding territories),35 to 49 years,Males,Mood disorder,6.6
2015,Canada (excluding territories),35 to 49 years,Males,"Current smoker, daily or occasional",22.9
2015,Canada (excluding territories),35 to 49 years,Males,"Current smoker, daily",16.2
2015,Canada (excluding territories),35 to 49 years,Males,Heavy drinking,27
2015,Canada (excluding territories),35 to 49 years,Males,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",62.6
2015,Canada (excluding territories),35 to 49 years,Males,"Fruit and vegetable consumption, 5 times or more per day",25.2
2015,Canada (excluding territories),35 to 49 years,Males,"Sense of belonging to local community, somewhat strong or very strong",65.7
2015,Canada (excluding territories),35 to 49 years,Males,"Life satisfaction, satisfied or very satisfied",93.9
2015,Canada (excluding territories),35 to 49 years,Males,Has a regular healthcare provider,77.8
2015,Canada (excluding territories),35 to 49 years,Males,Contact with a medical doctor in the past 12 months,68.6
2015,Canada (excluding territories),35 to 49 years,Males,Influenza immunization in the past 12 months,22.6
2015,Canada (excluding territories),35 to 49 years,Females,"Perceived health, very good or excellent",62.9
2015,Canada (excluding territories),35 to 49 years,Females,"Perceived health, fair or poor",8.8
2015,Canada (excluding territories),35 to 49 years,Females,"Perceived mental health, very good or excellent",70.6
2015,Canada (excluding territories),35 to 49 years,Females,"Perceived mental health, fair or poor",7.3
2015,Canada (excluding territories),35 to 49 years,Females,"Perceived life stress, most days quite a bit or extremely stressful",30.1
2015,Canada (excluding territories),35 to 49 years,Females,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",30.5
2015,Canada (excluding territories),35 to 49 years,Females,"Body mass index, adjusted self-reported, adult (18 years and over), obese",25.6
2015,Canada (excluding territories),35 to 49 years,Females,Arthritis (15 years and over),13
2015,Canada (excluding territories),35 to 49 years,Females,Diabetes,3.8
2015,Canada (excluding territories),35 to 49 years,Females,Asthma,10.4
2015,Canada (excluding territories),35 to 49 years,Females,Chronic obstructive pulmonary disease (COPD; 35 years and over),1.8
2015,Canada (excluding territories),35 to 49 years,Females,High blood pressure,8.2
2015,Canada (excluding territories),35 to 49 years,Females,Mood disorder,11.4
2015,Canada (excluding territories),35 to 49 years,Females,"Current smoker, daily or occasional",16.2
2015,Canada (excluding territories),35 to 49 years,Females,"Current smoker, daily",12.3
2015,Canada (excluding territories),35 to 49 years,Females,Heavy drinking,15.1
2015,Canada (excluding territories),35 to 49 years,Females,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",55.9
2015,Canada (excluding territories),35 to 49 years,Females,Breast milk feeding initiation,92.5
2015,Canada (excluding territories),35 to 49 years,Females,"Exclusive breastfeeding, at least 6 months",35.7
2015,Canada (excluding territories),35 to 49 years,Females,"Fruit and vegetable consumption, 5 times or more per day",40.3
2015,Canada (excluding territories),35 to 49 years,Females,"Sense of belonging to local community, somewhat strong or very strong",67.5
2015,Canada (excluding territories),35 to 49 years,Females,"Life satisfaction, satisfied or very satisfied",93
2015,Canada (excluding territories),35 to 49 years,Females,Has a regular healthcare provider,88.2
2015,Canada (excluding territories),35 to 49 years,Females,Contact with a medical doctor in the past 12 months,79.1
2015,Canada (excluding territories),35 to 49 years,Females,Influenza immunization in the past 12 months,28
2015,Canada (excluding territories),50 to 64 years,Both sexes,"Perceived health, very good or excellent",57.7
2015,Canada (excluding territories),50 to 64 years,Both sexes,"Perceived health, fair or poor",13.2
2015,Canada (excluding territories),50 to 64 years,Both sexes,"Perceived mental health, very good or excellent",72
2015,Canada (excluding territories),50 to 64 years,Both sexes,"Perceived mental health, fair or poor",6.2
2015,Canada (excluding territories),50 to 64 years,Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",23.7
2015,Canada (excluding territories),50 to 64 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",38.5
