REF_DATE,GEO,Gender,Sociodemographic_characteristics,Indicators,VALUE
2021-04,Canada (excluding territories),"Total, all persons",Not a visible minority,Good perceived mental health,35
2021-04,Canada (excluding territories),"Total, all persons",Not a visible minority,Fair or poor perceived mental health,21.4
2021-04,Canada (excluding territories),"Total, all persons","Total, by Indigenous identity",Excellent or very good perceived mental health,43.4
2021-04,Canada (excluding territories),"Total, all persons","Total, by Indigenous identity",Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons","Total, by Indigenous identity",Fair or poor perceived mental health,21.3
2021-04,Canada (excluding territories),"Total, all persons",Indigenous identity,Excellent or very good perceived mental health,36
2021-04,Canada (excluding territories),"Total, all persons",Indigenous identity,Good perceived mental health,32.7
2021-04,Canada (excluding territories),"Total, all persons",Indigenous identity,Fair or poor perceived mental health,31.4
2021-04,Canada (excluding territories),"Total, all persons",Single Indigenous identity,Excellent or very good perceived mental health,35.5
2021-04,Canada (excluding territories),"Total, all persons",Single Indigenous identity,Good perceived mental health,32.9
2021-04,Canada (excluding territories),"Total, all persons",Single Indigenous identity,Fair or poor perceived mental health,31.6
2021-04,Canada (excluding territories),"Total, all persons",First Nations,Excellent or very good perceived mental health,35.7
2021-04,Canada (excluding territories),"Total, all persons",First Nations,Good perceived mental health,28
2021-04,Canada (excluding territories),"Total, all persons",First Nations,Fair or poor perceived mental health,36.3
2021-04,Canada (excluding territories),"Total, all persons",Métis,Excellent or very good perceived mental health,34.4
2021-04,Canada (excluding territories),"Total, all persons",Métis,Good perceived mental health,37.3
2021-04,Canada (excluding territories),"Total, all persons",Métis,Fair or poor perceived mental health,28.3
2021-04,Canada (excluding territories),"Total, all persons",Inuk (Inuit),Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Inuk (Inuit),Good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Inuk (Inuit),Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Multiple Indigenous identities,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Multiple Indigenous identities,Good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Multiple Indigenous identities,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Non-Indigenous identity,Excellent or very good perceived mental health,43.7
2021-04,Canada (excluding territories),"Total, all persons",Non-Indigenous identity,Good perceived mental health,35.4
2021-04,Canada (excluding territories),"Total, all persons",Non-Indigenous identity,Fair or poor perceived mental health,20.9
2021-04,Canada (excluding territories),"Total, all persons","Total, persons with and without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,43.4
2021-04,Canada (excluding territories),"Total, all persons","Total, persons with and without a disability, difficulty or long-term condition",Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons","Total, persons with and without a disability, difficulty or long-term condition",Fair or poor perceived mental health,21.3
2021-04,Canada (excluding territories),"Total, all persons","Persons with a disability, difficulty or long-term condition",Excellent or very good perceived mental health,29.4
2021-04,Canada (excluding territories),"Total, all persons","Persons with a disability, difficulty or long-term condition",Good perceived mental health,34.8
2021-04,Canada (excluding territories),"Total, all persons","Persons with a disability, difficulty or long-term condition",Fair or poor perceived mental health,35.8
2021-04,Canada (excluding territories),"Total, all persons","Persons without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,52.3
2021-04,Canada (excluding territories),"Total, all persons","Persons without a disability, difficulty or long-term condition",Good perceived mental health,35.7
2021-04,Canada (excluding territories),"Total, all persons","Persons without a disability, difficulty or long-term condition",Fair or poor perceived mental health,12
2021-04,Canada (excluding territories),"Total, all persons","Total, LGBTQ2+ and non-LGBTQ2+ people",Excellent or very good perceived mental health,43.4
2021-04,Canada (excluding territories),"Total, all persons","Total, LGBTQ2+ and non-LGBTQ2+ people",Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons","Total, LGBTQ2+ and non-LGBTQ2+ people",Fair or poor perceived mental health,21.3
2021-04,Canada (excluding territories),"Total, all persons",LGBTQ2+ people,Excellent or very good perceived mental health,18.3
2021-04,Canada (excluding territories),"Total, all persons",LGBTQ2+ people,Good perceived mental health,33.9
2021-04,Canada (excluding territories),"Total, all persons",LGBTQ2+ people,Fair or poor perceived mental health,47.8
2021-04,Canada (excluding territories),"Total, all persons",Non-LGBTQ2+ people,Excellent or very good perceived mental health,44.9
2021-04,Canada (excluding territories),"Total, all persons",Non-LGBTQ2+ people,Good perceived mental health,35.4
2021-04,Canada (excluding territories),"Total, all persons",Non-LGBTQ2+ people,Fair or poor perceived mental health,19.7
2021-04,Canada (excluding territories),"Total, all persons","Total, highest certificate, diploma or degree",Excellent or very good perceived mental health,43.4
2021-04,Canada (excluding territories),"Total, all persons","Total, highest certificate, diploma or degree",Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons","Total, highest certificate, diploma or degree",Fair or poor perceived mental health,21.3
2021-04,Canada (excluding territories),"Total, all persons","No certificate, diploma or degree",Excellent or very good perceived mental health,43.1
2021-04,Canada (excluding territories),"Total, all persons","No certificate, diploma or degree",Good perceived mental health,34.4
2021-04,Canada (excluding territories),"Total, all persons","No certificate, diploma or degree",Fair or poor perceived mental health,22.5
2021-04,Canada (excluding territories),"Total, all persons",Secondary (high) school diploma or equivalency certificate,Excellent or very good perceived mental health,42.2
2021-04,Canada (excluding territories),"Total, all persons",Secondary (high) school diploma or equivalency certificate,Good perceived mental health,35.9
2021-04,Canada (excluding territories),"Total, all persons",Secondary (high) school diploma or equivalency certificate,Fair or poor perceived mental health,21.9
2021-04,Canada (excluding territories),"Total, all persons","Postsecondary certificate, diploma or degree",Excellent or very good perceived mental health,44
2021-04,Canada (excluding territories),"Total, all persons","Postsecondary certificate, diploma or degree",Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons","Postsecondary certificate, diploma or degree",Fair or poor perceived mental health,20.7
2021-04,Canada (excluding territories),"Total, all persons",Postsecondary certificate or diploma below bachelor level,Excellent or very good perceived mental health,43.7
2021-04,Canada (excluding territories),"Total, all persons",Postsecondary certificate or diploma below bachelor level,Good perceived mental health,35.6
2021-04,Canada (excluding territories),"Total, all persons",Postsecondary certificate or diploma below bachelor level,Fair or poor perceived mental health,20.6
2021-04,Canada (excluding territories),"Total, all persons",Apprenticeship or trades certificate or diploma,Excellent or very good perceived mental health,48.1
2021-04,Canada (excluding territories),"Total, all persons",Apprenticeship or trades certificate or diploma,Good perceived mental health,33.3
2021-04,Canada (excluding territories),"Total, all persons",Apprenticeship or trades certificate or diploma,Fair or poor perceived mental health,18.6
2021-04,Canada (excluding territories),"Total, all persons","College, CEGEP or other non-university certificate or diploma",Excellent or very good perceived mental health,41.7
2021-04,Canada (excluding territories),"Total, all persons","College, CEGEP or other non-university certificate or diploma",Good perceived mental health,37.4
2021-04,Canada (excluding territories),"Total, all persons","College, CEGEP or other non-university certificate or diploma",Fair or poor perceived mental health,20.9
2021-04,Canada (excluding territories),"Total, all persons",University certificate or diploma below bachelor level,Excellent or very good perceived mental health,44
2021-04,Canada (excluding territories),"Total, all persons",University certificate or diploma below bachelor level,Good perceived mental health,33.2
2021-04,Canada (excluding territories),"Total, all persons",University certificate or diploma below bachelor level,Fair or poor perceived mental health,22.8
2021-04,Canada (excluding territories),"Total, all persons",Bachelor's degree or higher,Excellent or very good perceived mental health,44.4
2021-04,Canada (excluding territories),"Total, all persons",Bachelor's degree or higher,Good perceived mental health,34.9
2021-04,Canada (excluding territories),"Total, all persons",Bachelor's degree or higher,Fair or poor perceived mental health,20.7
2021-04,Canada (excluding territories),"Total, all persons",Bachelor's degree,Excellent or very good perceived mental health,42
2021-04,Canada (excluding territories),"Total, all persons",Bachelor's degree,Good perceived mental health,36.3
2021-04,Canada (excluding territories),"Total, all persons",Bachelor's degree,Fair or poor perceived mental health,21.7
2021-04,Canada (excluding territories),"Total, all persons","University certificate, diploma or degree above bachelor level",Excellent or very good perceived mental health,48.9
2021-04,Canada (excluding territories),"Total, all persons","University certificate, diploma or degree above bachelor level",Good perceived mental health,32.3
2021-04,Canada (excluding territories),"Total, all persons","University certificate, diploma or degree above bachelor level",Fair or poor perceived mental health,18.8
2021-04,Canada (excluding territories),"Total, all persons","Total, by main activity",Excellent or very good perceived mental health,43.4
2021-04,Canada (excluding territories),"Total, all persons","Total, by main activity",Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons","Total, by main activity",Fair or poor perceived mental health,21.3
2021-04,Canada (excluding territories),"Total, all persons",Working at a paid job or business,Excellent or very good perceived mental health,44.5
2021-04,Canada (excluding territories),"Total, all persons",Working at a paid job or business,Good perceived mental health,35.9
2021-04,Canada (excluding territories),"Total, all persons",Working at a paid job or business,Fair or poor perceived mental health,19.6
2021-04,Canada (excluding territories),"Total, all persons",Retired,Excellent or very good perceived mental health,52
2021-04,Canada (excluding territories),"Total, all persons",Retired,Good perceived mental health,34.9
2021-04,Canada (excluding territories),"Total, all persons",Retired,Fair or poor perceived mental health,13.1
2021-04,Canada (excluding territories),"Total, all persons",Other activity,Excellent or very good perceived mental health,34.9
2021-04,Canada (excluding territories),"Total, all persons",Other activity,Good perceived mental health,34.6
2021-04,Canada (excluding territories),"Total, all persons",Other activity,Fair or poor perceived mental health,30.5
2021-04,Canada (excluding territories),"Total, all persons","Total, urban and rural areas",Excellent or very good perceived mental health,43.4
2021-04,Canada (excluding territories),"Total, all persons","Total, urban and rural areas",Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons","Total, urban and rural areas",Fair or poor perceived mental health,21.3
2021-04,Canada (excluding territories),"Total, all persons",Urban areas,Excellent or very good perceived mental health,42.8
2021-04,Canada (excluding territories),"Total, all persons",Urban areas,Good perceived mental health,35.5
2021-04,Canada (excluding territories),"Total, all persons",Urban areas,Fair or poor perceived mental health,21.8
2021-04,Canada (excluding territories),"Total, all persons",Rural areas,Excellent or very good perceived mental health,47
2021-04,Canada (excluding territories),"Total, all persons",Rural areas,Good perceived mental health,34.6
2021-04,Canada (excluding territories),"Total, all persons",Rural areas,Fair or poor perceived mental health,18.4
2021-04,Canada (excluding territories),Men,"Total, 15 years and over",Excellent or very good perceived mental health,48.5
2021-04,Canada (excluding territories),Men,"Total, 15 years and over",Good perceived mental health,34.1
2021-04,Canada (excluding territories),Men,"Total, 15 years and over",Fair or poor perceived mental health,17.3
2021-04,Canada (excluding territories),Men,15 to 24 years,Excellent or very good perceived mental health,46.3
2021-04,Canada (excluding territories),Men,15 to 24 years,Good perceived mental health,35.7
2021-04,Canada (excluding territories),Men,15 to 24 years,Fair or poor perceived mental health,18
2021-04,Canada (excluding territories),Men,25 to 54 years,Excellent or very good perceived mental health,45.3
2021-04,Canada (excluding territories),Men,25 to 54 years,Good perceived mental health,34
2021-04,Canada (excluding territories),Men,25 to 54 years,Fair or poor perceived mental health,20.8
2021-04,Canada (excluding territories),Men,25 to 34 years,Excellent or very good perceived mental health,41.7
2021-04,Canada (excluding territories),Men,25 to 34 years,Good perceived mental health,33.4
2021-04,Canada (excluding territories),Men,25 to 34 years,Fair or poor perceived mental health,24.9
2021-04,Canada (excluding territories),Men,35 to 44 years,Excellent or very good perceived mental health,48.2
2021-04,Canada (excluding territories),Men,35 to 44 years,Good perceived mental health,34.3
2021-04,Canada (excluding territories),Men,35 to 44 years,Fair or poor perceived mental health,17.5
2021-04,Canada (excluding territories),Men,45 to 54 years,Excellent or very good perceived mental health,46.2
2021-04,Canada (excluding territories),Men,45 to 54 years,Good perceived mental health,34.2
2021-04,Canada (excluding territories),Men,45 to 54 years,Fair or poor perceived mental health,19.6
2021-04,Canada (excluding territories),Men,55 to 64 years,Excellent or very good perceived mental health,52.8
2021-04,Canada (excluding territories),Men,55 to 64 years,Good perceived mental health,33.2
2021-04,Canada (excluding territories),Men,55 to 64 years,Fair or poor perceived mental health,14
2021-04,Canada (excluding territories),Men,65 years and over,Excellent or very good perceived mental health,54.3
2021-04,Canada (excluding territories),Men,65 years and over,Good perceived mental health,34.2
2021-04,Canada (excluding territories),Men,65 years and over,Fair or poor perceived mental health,11.4
2021-04,Canada (excluding territories),Men,65 to 74 years,Excellent or very good perceived mental health,54.8
2021-04,Canada (excluding territories),Men,65 to 74 years,Good perceived mental health,35
2021-04,Canada (excluding territories),Men,65 to 74 years,Fair or poor perceived mental health,10.2
2021-04,Canada (excluding territories),Men,75 years and over,Excellent or very good perceived mental health,53.6
2021-04,Canada (excluding territories),Men,75 years and over,Good perceived mental health,33
2021-04,Canada (excluding territories),Men,75 years and over,Fair or poor perceived mental health,13.4
2021-04,Canada (excluding territories),Men,"Total, by immigrant status",Excellent or very good perceived mental health,48.5
2021-04,Canada (excluding territories),Men,"Total, by immigrant status",Good perceived mental health,34.1
2021-04,Canada (excluding territories),Men,"Total, by immigrant status",Fair or poor perceived mental health,17.3
2021-04,Canada (excluding territories),Men,Non-immigrants,Excellent or very good perceived mental health,48.6
2021-04,Canada (excluding territories),Men,Non-immigrants,Good perceived mental health,34.5
2021-04,Canada (excluding territories),Men,Non-immigrants,Fair or poor perceived mental health,16.9
2021-04,Canada (excluding territories),Men,Immigrants,Excellent or very good perceived mental health,48.4
2021-04,Canada (excluding territories),Men,Immigrants,Good perceived mental health,33.4
2021-04,Canada (excluding territories),Men,Immigrants,Fair or poor perceived mental health,18.2
2021-04,Canada (excluding territories),Men,"Immigrants, 10 years or less in Canada",Excellent or very good perceived mental health,54.6
2021-04,Canada (excluding territories),Men,"Immigrants, 10 years or less in Canada",Good perceived mental health,28.5
2021-04,Canada (excluding territories),Men,"Immigrants, 10 years or less in Canada",Fair or poor perceived mental health,17
2021-04,Canada (excluding territories),Men,"Immigrants, more than 10 years in Canada",Excellent or very good perceived mental health,46.1
2021-04,Canada (excluding territories),Men,"Immigrants, more than 10 years in Canada",Good perceived mental health,34.9
2021-04,Canada (excluding territories),Men,"Immigrants, more than 10 years in Canada",Fair or poor perceived mental health,19
2021-04,Canada (excluding territories),Men,"Immigrants, years in Canada not stated",Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Men,"Immigrants, years in Canada not stated",Good perceived mental health,NA
2021-04,Canada (excluding territories),Men,"Immigrants, years in Canada not stated",Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Men,Non-permanent residents,Excellent or very good perceived mental health,48.5
2021-04,Canada (excluding territories),Men,Non-permanent residents,Good perceived mental health,33.6
2021-04,Canada (excluding territories),Men,Non-permanent residents,Fair or poor perceived mental health,18
2021-04,Canada (excluding territories),Men,"Total, by visible minority group",Excellent or very good perceived mental health,48.5
2021-04,Canada (excluding territories),Men,"Total, by visible minority group",Good perceived mental health,34.1
2021-04,Canada (excluding territories),Men,"Total, by visible minority group",Fair or poor perceived mental health,17.3
2021-04,Canada (excluding territories),Men,Visible minority population,Excellent or very good perceived mental health,46.7
2021-04,Canada (excluding territories),Men,Visible minority population,Good perceived mental health,35.7
2021-04,Canada (excluding territories),Men,Visible minority population,Fair or poor perceived mental health,17.5
2021-04,Canada (excluding territories),Men,South Asian,Excellent or very good perceived mental health,45.3
2021-04,Canada (excluding territories),Men,South Asian,Good perceived mental health,36
2021-04,Canada (excluding territories),Men,South Asian,Fair or poor perceived mental health,18.7
2021-04,Canada (excluding territories),Men,Chinese,Excellent or very good perceived mental health,41.3
2021-04,Canada (excluding territories),Men,Chinese,Good perceived mental health,41.3
2021-04,Canada (excluding territories),Men,Chinese,Fair or poor perceived mental health,17.4
2021-04,Canada (excluding territories),Men,Black,Excellent or very good perceived mental health,58.8
2021-04,Canada (excluding territories),Men,Black,Good perceived mental health,26
2021-04,Canada (excluding territories),Men,Black,Fair or poor perceived mental health,15.2
2021-04,Canada (excluding territories),Men,Filipino,Excellent or very good perceived mental health,63.8
2021-04,Canada (excluding territories),Men,Filipino,Good perceived mental health,27.3
2021-04,Canada (excluding territories),Men,Filipino,Fair or poor perceived mental health,8.9
2021-04,Canada (excluding territories),Men,Arab,Excellent or very good perceived mental health,57.6
2021-04,Canada (excluding territories),Men,Arab,Good perceived mental health,27.4
2021-04,Canada (excluding territories),Men,Arab,Fair or poor perceived mental health,14.9
2021-04,Canada (excluding territories),Men,Latin American,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Latin American,Good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Latin American,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Men,Southeast Asian,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Southeast Asian,Good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Southeast Asian,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Men,West Asian,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Men,West Asian,Good perceived mental health,NA
2021-04,Canada (excluding territories),Men,West Asian,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Men,Korean,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Korean,Good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Korean,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Men,Japanese,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Japanese,Good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Japanese,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Men,"Visible minority, not included elsewhere",Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Men,"Visible minority, not included elsewhere",Good perceived mental health,NA
2021-04,Canada (excluding territories),Men,"Visible minority, not included elsewhere",Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Men,Multiple visible minorities,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Multiple visible minorities,Good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Multiple visible minorities,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Men,Not a visible minority,Excellent or very good perceived mental health,49.2
2021-04,Canada (excluding territories),Men,Not a visible minority,Good perceived mental health,33.5
2021-04,Canada (excluding territories),Men,Not a visible minority,Fair or poor perceived mental health,17.3
2021-04,Canada (excluding territories),Men,"Total, by Indigenous identity",Excellent or very good perceived mental health,48.5
2021-04,Canada (excluding territories),Men,"Total, by Indigenous identity",Good perceived mental health,34.1
2021-04,Canada (excluding territories),Men,"Total, by Indigenous identity",Fair or poor perceived mental health,17.3
2021-04,Canada (excluding territories),Men,Indigenous identity,Excellent or very good perceived mental health,40.9
2021-04,Canada (excluding territories),Men,Indigenous identity,Good perceived mental health,32.2
2021-04,Canada (excluding territories),Men,Indigenous identity,Fair or poor perceived mental health,27
2021-04,Canada (excluding territories),Men,Single Indigenous identity,Excellent or very good perceived mental health,40.4
2021-04,Canada (excluding territories),Men,Single Indigenous identity,Good perceived mental health,32.4
2021-04,Canada (excluding territories),Men,Single Indigenous identity,Fair or poor perceived mental health,27.2
2021-04,Canada (excluding territories),Men,First Nations,Excellent or very good perceived mental health,NA
