REF_DATE,GEO,Gender,Indicators,VALUE
2021-07,New Brunswick,Women,Excellent or very good perceived mental health,46.5
2021-07,New Brunswick,Women,Good perceived mental health,35.8
2021-07,New Brunswick,Women,Fair or poor perceived mental health,17.7
2021-07,Quebec,"Total, all persons",Excellent or very good perceived mental health,62
2021-07,Quebec,"Total, all persons",Good perceived mental health,29.2
2021-07,Quebec,"Total, all persons",Fair or poor perceived mental health,8.7
2021-07,Quebec,Men,Excellent or very good perceived mental health,66.1
2021-07,Quebec,Men,Good perceived mental health,27.1
2021-07,Quebec,Men,Fair or poor perceived mental health,6.9
2021-07,Quebec,Women,Excellent or very good perceived mental health,58
2021-07,Quebec,Women,Good perceived mental health,31.4
2021-07,Quebec,Women,Fair or poor perceived mental health,10.6
2021-07,Ontario,"Total, all persons",Excellent or very good perceived mental health,48.3
2021-07,Ontario,"Total, all persons",Good perceived mental health,31.1
2021-07,Ontario,"Total, all persons",Fair or poor perceived mental health,20.6
2021-07,Ontario,Men,Excellent or very good perceived mental health,52.4
2021-07,Ontario,Men,Good perceived mental health,29.6
2021-07,Ontario,Men,Fair or poor perceived mental health,18
2021-07,Ontario,Women,Excellent or very good perceived mental health,44.4
2021-07,Ontario,Women,Good perceived mental health,32.5
2021-07,Ontario,Women,Fair or poor perceived mental health,23.1
2021-07,Prairies Region,"Total, all persons",Excellent or very good perceived mental health,48.8
2021-07,Prairies Region,"Total, all persons",Good perceived mental health,34.1
2021-07,Prairies Region,"Total, all persons",Fair or poor perceived mental health,17.1
2021-07,Prairies Region,Men,Excellent or very good perceived mental health,51.9
2021-07,Prairies Region,Men,Good perceived mental health,31.7
2021-07,Prairies Region,Men,Fair or poor perceived mental health,16.3
2021-07,Prairies Region,Women,Excellent or very good perceived mental health,45.6
2021-07,Prairies Region,Women,Good perceived mental health,36.5
2021-07,Prairies Region,Women,Fair or poor perceived mental health,17.9
2021-07,Manitoba,"Total, all persons",Excellent or very good perceived mental health,48.2
2021-07,Manitoba,"Total, all persons",Good perceived mental health,35.1
2021-07,Manitoba,"Total, all persons",Fair or poor perceived mental health,16.8
2021-07,Manitoba,Men,Excellent or very good perceived mental health,53.5
2021-07,Manitoba,Men,Good perceived mental health,29.6
2021-07,Manitoba,Men,Fair or poor perceived mental health,16.9
2021-07,Manitoba,Women,Excellent or very good perceived mental health,43
2021-07,Manitoba,Women,Good perceived mental health,40.4
2021-07,Manitoba,Women,Fair or poor perceived mental health,16.6
2021-07,Saskatchewan,"Total, all persons",Excellent or very good perceived mental health,48.6
2021-07,Saskatchewan,"Total, all persons",Good perceived mental health,35
2021-07,Saskatchewan,"Total, all persons",Fair or poor perceived mental health,16.4
2021-07,Saskatchewan,Men,Excellent or very good perceived mental health,50.5
2021-07,Saskatchewan,Men,Good perceived mental health,35.4
2021-07,Saskatchewan,Men,Fair or poor perceived mental health,14.1
2021-07,Saskatchewan,Women,Excellent or very good perceived mental health,46.6
2021-07,Saskatchewan,Women,Good perceived mental health,34.6
2021-07,Saskatchewan,Women,Fair or poor perceived mental health,18.9
2021-07,Alberta,"Total, all persons",Excellent or very good perceived mental health,49
2021-07,Alberta,"Total, all persons",Good perceived mental health,33.6
2021-07,Alberta,"Total, all persons",Fair or poor perceived mental health,17.4
2021-07,Alberta,Men,Excellent or very good perceived mental health,51.8
2021-07,Alberta,Men,Good perceived mental health,31.4
2021-07,Alberta,Men,Fair or poor perceived mental health,16.7
2021-07,Alberta,Women,Excellent or very good perceived mental health,46.2
2021-07,Alberta,Women,Good perceived mental health,35.7
2021-07,Alberta,Women,Fair or poor perceived mental health,18.1
2021-07,British Columbia,"Total, all persons",Excellent or very good perceived mental health,49.7
2021-07,British Columbia,"Total, all persons",Good perceived mental health,32.4
2021-07,British Columbia,"Total, all persons",Fair or poor perceived mental health,17.9
2021-07,British Columbia,Men,Excellent or very good perceived mental health,54.3
2021-07,British Columbia,Men,Good perceived mental health,29.3
2021-07,British Columbia,Men,Fair or poor perceived mental health,16.3
2021-07,British Columbia,Women,Excellent or very good perceived mental health,45.2
2021-07,British Columbia,Women,Good perceived mental health,35.4
2021-07,British Columbia,Women,Fair or poor perceived mental health,19.4
2021-10,Canada (excluding territories),"Total, all persons",Excellent or very good perceived mental health,48.3
2021-10,Canada (excluding territories),"Total, all persons",Good perceived mental health,31.7
2021-10,Canada (excluding territories),"Total, all persons",Fair or poor perceived mental health,20
2021-10,Canada (excluding territories),Men,Excellent or very good perceived mental health,52.1
2021-10,Canada (excluding territories),Men,Good perceived mental health,29.5
2021-10,Canada (excluding territories),Men,Fair or poor perceived mental health,18.4
2021-10,Canada (excluding territories),Women,Excellent or very good perceived mental health,44.7
2021-10,Canada (excluding territories),Women,Good perceived mental health,33.8
2021-10,Canada (excluding territories),Women,Fair or poor perceived mental health,21.6
2021-10,Atlantic Region,"Total, all persons",Excellent or very good perceived mental health,44
2021-10,Atlantic Region,"Total, all persons",Good perceived mental health,34.3
2021-10,Atlantic Region,"Total, all persons",Fair or poor perceived mental health,21.7
2021-10,Atlantic Region,Men,Excellent or very good perceived mental health,47.1
2021-10,Atlantic Region,Men,Good perceived mental health,32.8
2021-10,Atlantic Region,Men,Fair or poor perceived mental health,20.1
2021-10,Atlantic Region,Women,Excellent or very good perceived mental health,41.1
2021-10,Atlantic Region,Women,Good perceived mental health,35.8
2021-10,Atlantic Region,Women,Fair or poor perceived mental health,23.2
2021-10,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived mental health,52.5
2021-10,Newfoundland and Labrador,"Total, all persons",Good perceived mental health,29.4
2021-10,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived mental health,18.1
2021-10,Newfoundland and Labrador,Men,Excellent or very good perceived mental health,52
2021-10,Newfoundland and Labrador,Men,Good perceived mental health,27.9
2021-10,Newfoundland and Labrador,Men,Fair or poor perceived mental health,20.1
2021-10,Newfoundland and Labrador,Women,Excellent or very good perceived mental health,53
2021-10,Newfoundland and Labrador,Women,Good perceived mental health,30.9
2021-10,Newfoundland and Labrador,Women,Fair or poor perceived mental health,16.1
2021-10,Prince Edward Island,"Total, all persons",Excellent or very good perceived mental health,52.2
2021-10,Prince Edward Island,"Total, all persons",Good perceived mental health,29.7
2021-10,Prince Edward Island,"Total, all persons",Fair or poor perceived mental health,18.1
2021-10,Prince Edward Island,Men,Excellent or very good perceived mental health,59.5
2021-10,Prince Edward Island,Men,Good perceived mental health,25.6
2021-10,Prince Edward Island,Men,Fair or poor perceived mental health,14.9
2021-10,Prince Edward Island,Women,Excellent or very good perceived mental health,45.7
2021-10,Prince Edward Island,Women,Good perceived mental health,33.4
2021-10,Prince Edward Island,Women,Fair or poor perceived mental health,20.9
2021-10,Nova Scotia,"Total, all persons",Excellent or very good perceived mental health,37.6
2021-10,Nova Scotia,"Total, all persons",Good perceived mental health,36.7
2021-10,Nova Scotia,"Total, all persons",Fair or poor perceived mental health,25.7
2021-10,Nova Scotia,Men,Excellent or very good perceived mental health,42.4
2021-10,Nova Scotia,Men,Good perceived mental health,36.5
2021-10,Nova Scotia,Men,Fair or poor perceived mental health,21.1
2021-10,Nova Scotia,Women,Excellent or very good perceived mental health,32.9
2021-10,Nova Scotia,Women,Good perceived mental health,36.9
2021-10,Nova Scotia,Women,Fair or poor perceived mental health,30.2
2021-10,New Brunswick,"Total, all persons",Excellent or very good perceived mental health,44.8
2021-10,New Brunswick,"Total, all persons",Good perceived mental health,35.5
2021-10,New Brunswick,"Total, all persons",Fair or poor perceived mental health,19.7
2021-10,New Brunswick,Men,Excellent or very good perceived mental health,47.3
2021-10,New Brunswick,Men,Good perceived mental health,32.7
2021-10,New Brunswick,Men,Fair or poor perceived mental health,20
2021-10,New Brunswick,Women,Excellent or very good perceived mental health,42.4
2021-10,New Brunswick,Women,Good perceived mental health,38.1
2021-10,New Brunswick,Women,Fair or poor perceived mental health,19.5
2021-10,Quebec,"Total, all persons",Excellent or very good perceived mental health,58.9
2021-10,Quebec,"Total, all persons",Good perceived mental health,30
2021-10,Quebec,"Total, all persons",Fair or poor perceived mental health,11.1
2021-10,Quebec,Men,Excellent or very good perceived mental health,61.8
2021-10,Quebec,Men,Good perceived mental health,28.7
2021-10,Quebec,Men,Fair or poor perceived mental health,9.5
2021-10,Quebec,Women,Excellent or very good perceived mental health,55.8
2021-10,Quebec,Women,Good perceived mental health,31.4
2021-10,Quebec,Women,Fair or poor perceived mental health,12.7
2021-10,Ontario,"Total, all persons",Excellent or very good perceived mental health,45.8
2021-10,Ontario,"Total, all persons",Good perceived mental health,32.1
2021-10,Ontario,"Total, all persons",Fair or poor perceived mental health,22
2021-10,Ontario,Men,Excellent or very good perceived mental health,49.8
2021-10,Ontario,Men,Good perceived mental health,30.2
2021-10,Ontario,Men,Fair or poor perceived mental health,20
2021-10,Ontario,Women,Excellent or very good perceived mental health,42
2021-10,Ontario,Women,Good perceived mental health,34
2021-10,Ontario,Women,Fair or poor perceived mental health,24
2021-10,Prairies Region,"Total, all persons",Excellent or very good perceived mental health,44.7
2021-10,Prairies Region,"Total, all persons",Good perceived mental health,32
2021-10,Prairies Region,"Total, all persons",Fair or poor perceived mental health,23.3
2021-10,Prairies Region,Men,Excellent or very good perceived mental health,49.1
2021-10,Prairies Region,Men,Good perceived mental health,29.5
2021-10,Prairies Region,Men,Fair or poor perceived mental health,21.4
2021-10,Prairies Region,Women,Excellent or very good perceived mental health,40.3
2021-10,Prairies Region,Women,Good perceived mental health,34.5
2021-10,Prairies Region,Women,Fair or poor perceived mental health,25.2
2021-10,Manitoba,"Total, all persons",Excellent or very good perceived mental health,46
2021-10,Manitoba,"Total, all persons",Good perceived mental health,34.1
2021-10,Manitoba,"Total, all persons",Fair or poor perceived mental health,19.8
2021-10,Manitoba,Men,Excellent or very good perceived mental health,44.9
2021-10,Manitoba,Men,Good perceived mental health,36.1
2021-10,Manitoba,Men,Fair or poor perceived mental health,19
2021-10,Manitoba,Women,Excellent or very good perceived mental health,47.3
2021-10,Manitoba,Women,Good perceived mental health,32.1
2021-10,Manitoba,Women,Fair or poor perceived mental health,20.6
2021-10,Saskatchewan,"Total, all persons",Excellent or very good perceived mental health,47.2
2021-10,Saskatchewan,"Total, all persons",Good perceived mental health,32.1
2021-10,Saskatchewan,"Total, all persons",Fair or poor perceived mental health,20.7
2021-10,Saskatchewan,Men,Excellent or very good perceived mental health,54.7
2021-10,Saskatchewan,Men,Good perceived mental health,29.9
2021-10,Saskatchewan,Men,Fair or poor perceived mental health,15.3
2021-10,Saskatchewan,Women,Excellent or very good perceived mental health,39.5
2021-10,Saskatchewan,Women,Good perceived mental health,34.3
2021-10,Saskatchewan,Women,Fair or poor perceived mental health,26.1
2021-10,Alberta,"Total, all persons",Excellent or very good perceived mental health,43.7
2021-10,Alberta,"Total, all persons",Good perceived mental health,31.3
2021-10,Alberta,"Total, all persons",Fair or poor perceived mental health,25
2021-10,Alberta,Men,Excellent or very good perceived mental health,49
2021-10,Alberta,Men,Good perceived mental health,27.4
2021-10,Alberta,Men,Fair or poor perceived mental health,23.7
2021-10,Alberta,Women,Excellent or very good perceived mental health,38.5
2021-10,Alberta,Women,Good perceived mental health,35.2
2021-10,Alberta,Women,Fair or poor perceived mental health,26.3
2021-10,British Columbia,"Total, all persons",Excellent or very good perceived mental health,44.8
2021-10,British Columbia,"Total, all persons",Good perceived mental health,31.4
2021-10,British Columbia,"Total, all persons",Fair or poor perceived mental health,23.8
2021-10,British Columbia,Men,Excellent or very good perceived mental health,48.4
2021-10,British Columbia,Men,Good perceived mental health,27.4
2021-10,British Columbia,Men,Fair or poor perceived mental health,24.1
2021-10,British Columbia,Women,Excellent or very good perceived mental health,41.3
2021-10,British Columbia,Women,Good perceived mental health,35.2
2021-10,British Columbia,Women,Fair or poor perceived mental health,23.5
2022-01,Canada (excluding territories),"Total, all persons",Excellent or very good perceived mental health,47.4
2022-01,Canada (excluding territories),"Total, all persons",Good perceived mental health,33.1
2022-01,Canada (excluding territories),"Total, all persons",Fair or poor perceived mental health,19.5
2022-01,Canada (excluding territories),Men,Excellent or very good perceived mental health,51.8
2022-01,Canada (excluding territories),Men,Good perceived mental health,31.3
2022-01,Canada (excluding territories),Men,Fair or poor perceived mental health,16.9
2022-01,Canada (excluding territories),Women,Excellent or very good perceived mental health,43.1
2022-01,Canada (excluding territories),Women,Good perceived mental health,34.8
2022-01,Canada (excluding territories),Women,Fair or poor perceived mental health,22.1
2022-01,Atlantic Region,"Total, all persons",Excellent or very good perceived mental health,44.7
2022-01,Atlantic Region,"Total, all persons",Good perceived mental health,35.6
2022-01,Atlantic Region,"Total, all persons",Fair or poor perceived mental health,19.7
2022-01,Atlantic Region,Men,Excellent or very good perceived mental health,48.4
2022-01,Atlantic Region,Men,Good perceived mental health,34.3
2022-01,Atlantic Region,Men,Fair or poor perceived mental health,17.3
2022-01,Atlantic Region,Women,Excellent or very good perceived mental health,41.1
2022-01,Atlantic Region,Women,Good perceived mental health,36.8
2022-01,Atlantic Region,Women,Fair or poor perceived mental health,22.1
2022-01,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived mental health,49.8
2022-01,Newfoundland and Labrador,"Total, all persons",Good perceived mental health,34.5
2022-01,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived mental health,15.7
2022-01,Newfoundland and Labrador,Men,Excellent or very good perceived mental health,53.4
2022-01,Newfoundland and Labrador,Men,Good perceived mental health,34.7
2022-01,Newfoundland and Labrador,Men,Fair or poor perceived mental health,11.9
2022-01,Newfoundland and Labrador,Women,Excellent or very good perceived mental health,46.3
2022-01,Newfoundland and Labrador,Women,Good perceived mental health,34.3
2022-01,Newfoundland and Labrador,Women,Fair or poor perceived mental health,19.4
2022-01,Prince Edward Island,"Total, all persons",Excellent or very good perceived mental health,53.2
2022-01,Prince Edward Island,"Total, all persons",Good perceived mental health,31.7
2022-01,Prince Edward Island,"Total, all persons",Fair or poor perceived mental health,15.1
2022-01,Prince Edward Island,Men,Excellent or very good perceived mental health,55.8
2022-01,Prince Edward Island,Men,Good perceived mental health,32
2022-01,Prince Edward Island,Men,Fair or poor perceived mental health,12.2
2022-01,Prince Edward Island,Women,Excellent or very good perceived mental health,50.6
2022-01,Prince Edward Island,Women,Good perceived mental health,31.5
2022-01,Prince Edward Island,Women,Fair or poor perceived mental health,17.9
2022-01,Nova Scotia,"Total, all persons",Excellent or very good perceived mental health,39
2022-01,Nova Scotia,"Total, all persons",Good perceived mental health,36.6
2022-01,Nova Scotia,"Total, all persons",Fair or poor perceived mental health,24.4
2022-01,Nova Scotia,Men,Excellent or very good perceived mental health,42.7
2022-01,Nova Scotia,Men,Good perceived mental health,34
2022-01,Nova Scotia,Men,Fair or poor perceived mental health,23.3
2022-01,Nova Scotia,Women,Excellent or very good perceived mental health,35.5
2022-01,Nova Scotia,Women,Good perceived mental health,39.1
2022-01,Nova Scotia,Women,Fair or poor perceived mental health,25.4
2022-01,New Brunswick,"Total, all persons",Excellent or very good perceived mental health,46.7
2022-01,New Brunswick,"Total, all persons",Good perceived mental health,35.8
2022-01,New Brunswick,"Total, all persons",Fair or poor perceived mental health,17.5
2022-01,New Brunswick,Men,Excellent or very good perceived mental health,50.6
2022-01,New Brunswick,Men,Good perceived mental health,35
2022-01,New Brunswick,Men,Fair or poor perceived mental health,14.4
2022-01,New Brunswick,Women,Excellent or very good perceived mental health,42.9
2022-01,New Brunswick,Women,Good perceived mental health,36.6
2022-01,New Brunswick,Women,Fair or poor perceived mental health,20.5
2022-01,Quebec,"Total, all persons",Excellent or very good perceived mental health,55.8
2022-01,Quebec,"Total, all persons",Good perceived mental health,31.1
2022-01,Quebec,"Total, all persons",Fair or poor perceived mental health,13
2022-01,Quebec,Men,Excellent or very good perceived mental health,57.3
2022-01,Quebec,Men,Good perceived mental health,30
2022-01,Quebec,Men,Fair or poor perceived mental health,12.7
2022-01,Quebec,Women,Excellent or very good perceived mental health,54.4
2022-01,Quebec,Women,Good perceived mental health,32.2
2022-01,Quebec,Women,Fair or poor perceived mental health,13.4
2022-01,Ontario,"Total, all persons",Excellent or very good perceived mental health,44.9
2022-01,Ontario,"Total, all persons",Good perceived mental health,33.6
2022-01,Ontario,"Total, all persons",Fair or poor perceived mental health,21.5
2022-01,Ontario,Men,Excellent or very good perceived mental health,51.2
2022-01,Ontario,Men,Good perceived mental health,30.9
2022-01,Ontario,Men,Fair or poor perceived mental health,17.9
2022-01,Ontario,Women,Excellent or very good perceived mental health,38.8
2022-01,Ontario,Women,Good perceived mental health,36.3
2022-01,Ontario,Women,Fair or poor perceived mental health,25
